datetime,voltage,battery_temp,battery_soc
2023-04-16 18:36:40.153316,8160.0,-2.0,85.29,
2023-04-16 18:37:40.062385,8146.666666666666,-1.0,85.29,
2023-04-16 18:38:40.103660,8146.666666666666,-1.0,85.29,
2023-04-16 18:39:40.212832,8133.333333333333,-1.0,85.29,
2023-04-16 18:40:34.825316,8133.333333333333,-1.0,85.29,
2023-04-16 18:41:34.806461,8146.666666666666,-1.0,85.29,
2023-04-16 18:42:34.789166,8146.666666666666,-1.0,85.29,
2023-04-16 18:43:34.984244,8146.666666666666,0.0,91.17,
2023-04-16 18:44:35.076744,8146.666666666666,0.0,91.17,
2023-04-16 18:45:35.053308,8146.666666666666,1.0,91.17,
2023-04-16 18:59:44.102171,8146.666666666666,6.0,91.17,
2023-04-16 19:00:32.083030,8146.666666666666,5.0,91.17,
2023-04-16 19:01:38.849376,8133.333333333333,6.0,91.17,
2023-04-16 19:02:41.687092,8120.000000000001,5.0,91.17,
2023-04-16 19:03:41.619852,8120.000000000001,5.0,91.17,
2023-04-16 19:07:43.262124,8106.666666666665,4.0,91.17,
2023-04-16 19:11:43.426642,8106.666666666665,2.0,91.17,
2023-04-16 20:04:41.345750,8146.666666666666,-6.0,85.29,
2023-04-16 20:06:41.344013,8146.666666666666,-6.0,85.29,
2023-04-16 20:07:42.380622,8146.666666666666,-5.0,85.29,
2023-04-16 20:08:41.847226,8146.666666666666,-5.0,85.29,
2023-04-16 20:09:41.861796,8133.333333333333,-5.0,85.29,
2023-04-16 20:10:41.959113,8146.666666666666,-5.0,85.29,
2023-04-16 20:32:33.249391,8146.666666666666,0.0,91.17,
2023-04-16 20:33:31.907800,8133.333333333333,0.0,91.17,
2023-04-16 20:34:35.114061,8146.666666666666,0.0,91.17,
2023-04-16 20:35:32.189835,8146.666666666666,0.0,91.17,
2023-04-16 20:36:35.229465,8120.000000000001,1.0,91.17,
2023-04-16 20:37:33.961646,8120.000000000001,1.0,91.17,
2023-04-16 20:38:34.090851,8120.000000000001,1.0,91.17,
2023-04-16 20:39:34.041028,8120.000000000001,1.0,91.17,
2023-04-16 20:40:35.375656,8106.666666666665,1.0,91.17,
2023-04-16 20:41:34.773179,8106.666666666665,1.0,91.17,
2023-04-16 20:42:34.801991,8106.666666666665,1.0,91.17,
2023-04-16 20:43:35.199596,8106.666666666665,1.0,91.17,
2023-04-16 21:01:36.966049,8080.0,-4.0,85.29,
2023-04-16 21:40:30.550082,8146.666666666666,-6.0,85.29,
2023-04-16 21:41:30.832869,8133.333333333333,-6.0,85.29,
2023-04-16 21:42:31.653555,8133.333333333333,-6.0,85.29,
2023-04-16 21:44:09.691985,8146.666666666666,-5.0,85.29,
2023-04-16 23:01:30.926270,8133.333333333333,-6.0,85.29,
2023-04-16 23:02:30.671869,8133.333333333333,-5.0,85.29,
2023-04-16 23:03:31.522761,8133.333333333333,-5.0,85.29,
2023-04-16 23:46:31.003630,8133.333333333333,6.0,91.17,
2023-04-16 23:46:46.646418,8120.000000000001,6.0,91.17,
